RowNumber,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Surname,Geography,Gender,HasCrCard,IsActiveMember,y
9255,686,32,6,0.0,2,179093.26,P'an,France,Male,1,1,1
1562,632,42,4,119624.6,2,195978.86,Leak,Germany,Male,1,1,1
1671,559,24,3,114739.92,1,85891.02,Green,Spain,Male,1,0,0
6088,561,27,9,135637.0,1,153080.4,Chukwudi,France,Female,1,0,0
6670,517,56,9,142147.32,1,39488.04,Chinomso,France,Male,0,0,0
5934,569,41,4,120243.49,1,163150.03,Tao,France,Male,1,0,0
8830,683,40,1,0.0,2,75762.0,Onuora,France,Female,0,0,1
7946,759,45,8,0.0,2,99251.24,Longo,France,Female,1,1,1
3509,426,34,3,0.0,2,61230.83,T'an,France,Female,1,1,1
2003,601,74,2,0.0,2,51554.58,Hsia,France,Male,0,1,1
5867,735,53,8,123845.36,2,170454.93,Amaechi,France,Female,0,1,0
169,667,39,2,0.0,2,40721.24,Pinto,Spain,Female,1,0,0
2589,741,32,5,0.0,1,64839.23,Blinova,France,Male,1,1,1
5906,511,30,5,0.0,2,143994.86,Kerr,France,Female,1,0,1
9530,508,41,5,0.0,2,94170.84,She,France,Female,1,1,1
6385,529,31,7,0.0,2,175697.87,Palmer,France,Female,1,1,1
7825,673,44,8,133444.97,1,5708.19,Teng,France,Female,0,1,1
9780,515,40,10,121355.99,1,138360.29,Angelo,Spain,Male,1,0,1
4630,850,49,8,98649.55,1,119174.88,Graham,Germany,Male,1,0,0
8561,627,28,5,71097.23,1,130504.49,Black,Germany,Male,1,1,1
9292,636,36,5,117559.05,2,111573.3,Esquivel,France,Male,1,1,1
6875,798,28,3,0.0,2,2305.27,Lo Duca,France,Male,1,0,1
6522,700,35,4,95853.39,2,192933.37,Hargreaves,Germany,Male,1,0,1
8980,514,35,3,121030.9,1,10008.68,Gordon,France,Male,1,0,1
6648,713,37,8,0.0,1,16403.41,Tai,France,Female,1,1,1
9826,467,28,10,126315.26,1,32349.29,Bell,Germany,Male,1,0,0
211,689,33,2,161814.64,2,169381.9,Trevisano,Germany,Male,1,0,1
5279,510,31,0,113688.63,1,33099.41,Kao,Germany,Male,1,0,0
1920,618,56,7,0.0,1,142400.27,Otitodilichukwu,France,Male,1,1,0
719,474,45,10,0.0,2,172175.9,Oldham,France,Male,0,0,1
4869,754,37,6,0.0,1,116141.72,Gilbert,France,Male,1,1,1
7835,703,56,9,0.0,1,85547.33,Bergamaschi,France,Male,0,0,0
1299,683,30,10,57657.49,1,79240.9,Clark,France,Male,0,0,1
9194,597,26,8,149989.39,1,42330.58,Schneider,France,Female,1,0,1
4618,812,24,10,0.0,2,156906.15,Iweobiegbunam,France,Male,1,1,1
3129,832,34,6,138190.13,2,146511.2,Marsh,Spain,Female,0,1,1
9796,506,43,2,0.0,2,105568.6,Yobanna,France,Male,1,0,1
3980,685,40,7,0.0,1,72852.74,Owens,France,Female,1,0,0
9925,632,50,5,107959.39,1,6985.34,Palerma,Germany,Female,1,1,0
8318,666,27,4,0.0,2,88751.45,Verjus,France,Female,0,0,1
4394,775,38,6,179886.41,2,153122.58,Gill,Germany,Female,0,0,1
1288,698,39,9,161993.89,1,90212.38,Ferri,Spain,Female,0,0,1
4356,657,39,4,80293.81,1,97192.76,Cardus,France,Female,1,0,1
7014,748,34,8,0.0,2,53584.03,McGregor,France,Female,1,0,1
3886,642,56,6,103244.86,2,143049.72,Fedorov,Germany,Female,1,0,0
5750,844,29,8,0.0,2,147342.03,Allan,France,Female,0,0,1
9170,766,45,6,0.0,2,147184.74,Mazzanti,France,Female,0,0,1
2408,708,43,0,118994.84,1,181499.77,Chidiegwu,Germany,Female,1,0,0
2014,705,35,4,136496.12,2,116672.02,Dellucci,Germany,Male,1,0,1
5154,695,29,9,0.0,2,111565.45,Baresi,France,Female,1,0,1
8552,507,32,7,0.0,2,67926.18,Thompson,Spain,Male,1,0,1
4377,614,34,5,0.0,2,185561.89,Cross,France,Female,1,0,1
8823,543,64,4,0.0,2,148305.82,Chin,France,Male,1,1,1
4274,562,75,5,87140.85,1,39351.64,Onyemauchechukwu,France,Male,1,1,1
5826,607,62,8,108004.64,1,23386.77,Johnston,Spain,Female,1,1,0
6700,709,41,3,150300.65,2,71672.86,Gordon,France,Female,1,0,1
7244,634,77,5,0.0,2,161579.85,Ibekwe,France,Male,1,1,1
450,778,47,6,127299.34,2,124694.99,Cook,Spain,Female,1,0,1
2228,633,58,6,98308.51,1,132034.13,Sun,Spain,Male,1,1,1
5757,645,28,7,117466.03,2,34490.06,Kao,Germany,Male,1,1,1
811,618,35,10,0.0,2,180439.75,Davide,France,Female,1,0,1
4181,607,36,10,106702.94,2,198313.69,Mai,Germany,Male,0,0,1
9001,616,37,9,0.0,1,111312.96,Cremonesi,France,Male,1,0,1
5439,679,34,7,160515.37,1,121904.14,Tai,France,Male,1,0,1
7534,630,51,0,108449.23,3,88372.69,Eberegbulam,Germany,Female,0,0,0
6370,646,38,2,0.0,2,178752.73,Castiglione,France,Female,0,0,1
8417,528,32,2,99092.45,1,111149.98,Lowe,Germany,Male,0,1,1
1478,776,37,2,0.0,1,8065.0,Bruno,France,Male,0,1,1
1791,697,74,3,108071.36,2,16445.79,Forbes,Germany,Female,1,1,1
2009,639,43,6,99610.92,2,187296.78,Lira,France,Male,1,0,1
683,651,41,4,133432.59,1,151303.48,Achebe,Germany,Female,0,1,1
2817,683,25,4,0.0,2,152698.24,Uspensky,France,Male,1,0,1
9432,523,24,5,172231.93,1,155144.12,DeRose,Spain,Female,0,1,1
3775,850,61,1,0.0,1,53067.83,Findlay,France,Male,1,0,0
6496,617,39,5,83348.89,3,7953.62,McGregor,Germany,Female,1,0,0
8879,645,47,9,152076.93,1,121840.2,Hsing,Germany,Male,1,0,0
7362,692,36,4,0.0,1,185580.89,Yin,France,Female,1,0,0
8367,637,41,2,0.0,2,102515.42,Ugorji,France,Male,0,1,1
7475,704,50,4,165438.26,1,120770.75,Lucchesi,France,Male,1,0,0
47,829,27,9,112045.67,1,119708.21,Martin,Germany,Female,1,1,0
31,591,39,3,0.0,3,140469.38,Azikiwe,Spain,Female,1,0,0
8251,850,35,9,0.0,2,25329.48,Wade,France,Female,0,0,1
6936,670,33,1,0.0,2,86413.11,McKissick,France,Male,1,1,1
1469,691,52,3,0.0,1,175843.68,Ozerova,France,Male,1,0,0
1666,749,42,1,129776.72,2,143538.51,Stewart,France,Male,0,1,1
1417,585,33,8,0.0,2,114182.07,Young,Spain,Female,1,0,1
6481,679,24,6,114948.76,2,135768.25,Tsou,France,Female,0,1,1
4853,687,35,3,0.0,2,176450.19,Ch'in,Spain,Male,1,1,1
2471,689,31,3,139799.63,1,120663.57,Gallo,Spain,Female,0,1,1
4374,546,45,2,0.0,1,197789.83,Mao,Spain,Female,0,0,0
8525,711,34,6,0.0,2,175310.38,Watson,France,Female,1,1,1
430,568,40,1,99282.63,1,134600.94,Boyle,Germany,Male,0,0,0
5245,672,43,5,0.0,2,64515.5,Fan,Spain,Male,1,1,1
2120,690,29,5,0.0,2,108577.97,Wildman,France,Male,1,0,1
386,560,66,9,0.0,1,15928.49,Black,France,Female,1,1,1
1946,734,22,5,130056.23,1,121894.31,Olisaemeka,France,Male,0,0,0
4225,767,47,2,0.0,1,48161.18,Ruggiero,Spain,Male,1,0,0
474,785,28,8,0.0,2,77231.27,Fanucci,France,Male,1,0,1
2130,702,34,4,100054.77,1,109496.45,Norton,France,Male,1,0,1
6557,840,51,1,87779.83,1,36687.11,Hill,Germany,Female,0,1,0
6999,666,47,5,0.0,1,166650.9,Barrett,Spain,Female,0,0,0
1056,545,74,3,0.0,2,161326.73,Lampungmeiua,Spain,Female,1,1,1
3275,629,31,6,0.0,1,16447.6,Pinto,France,Female,1,1,0
4962,689,45,0,130170.82,2,150856.38,Cattaneo,Germany,Male,1,0,1
5364,771,51,5,135506.58,3,152479.64,Piccio,Spain,Male,1,1,0
5817,547,43,1,92350.36,1,80262.91,Adams,France,Male,0,1,1
812,681,65,7,134714.7,2,190419.81,Alexander,Spain,Male,0,1,1
4574,645,24,3,34547.82,1,11638.17,Abbott,France,Female,1,1,1
6138,652,51,3,0.0,1,173989.47,McLean,France,Female,1,0,0
2389,762,34,4,88815.56,2,68562.26,McIntyre,Germany,Male,1,0,0
9649,608,40,7,96202.32,1,161154.85,Charlton,Germany,Female,0,0,1
6226,598,32,9,123938.6,2,198894.42,Williamson,Germany,Male,1,0,1
112,538,39,7,108055.1,2,27231.26,Rowntree,Germany,Male,1,0,1
8910,670,29,9,0.0,2,27359.19,Quesada,Spain,Female,1,0,1
1746,529,30,2,116295.29,1,75285.47,Ts'ao,France,Male,1,0,1
7852,758,68,6,112595.85,1,35865.44,Lavrentyev,Germany,Male,1,0,0
1453,687,35,3,99587.43,1,1713.1,Mazzanti,France,Female,1,1,0
320,429,24,4,95741.75,1,46170.75,Pearson,France,Male,1,0,1
8594,610,36,7,115462.02,1,42581.04,Alvarez,Germany,Male,0,1,1
3334,619,41,5,92467.58,1,38270.47,Yang,Germany,Female,1,0,1
1923,625,36,9,108546.16,3,133807.77,Hsing,France,Male,1,0,0
5866,663,39,4,0.0,1,76884.05,Lynch,France,Male,1,0,1
9529,739,34,9,0.0,1,60584.33,Liang,France,Male,1,0,1
3686,695,39,5,0.0,2,102763.69,Fang,Spain,Female,0,0,1
4276,536,32,7,178011.5,2,22375.14,Hung,France,Male,1,0,1
4890,691,41,8,109153.96,3,148848.76,Peng,Germany,Female,1,1,0
5226,615,66,7,0.0,2,74580.8,Chinonyelum,France,Male,1,1,1
7473,448,36,6,83947.12,2,81999.53,Yermolayev,France,Female,1,0,1
3606,588,34,10,129417.82,1,153727.32,Kang,Germany,Female,1,0,1
1053,607,38,3,98205.77,1,176318.27,Marcelo,Germany,Male,1,0,1
4157,605,43,8,125338.8,2,23970.13,Conti,Germany,Female,1,0,1
9677,585,34,1,0.0,1,75503.6,Chijioke,France,Female,1,1,1
100,413,34,9,0.0,2,6534.18,Fanucci,France,Male,0,0,1
7509,566,54,4,118614.6,2,172601.62,Okechukwu,Germany,Male,1,1,1
1457,639,28,8,0.0,2,126561.07,Ojiofor,Spain,Male,1,0,1
7689,713,45,4,131038.14,1,74005.04,Sun,Germany,Male,1,0,0
4005,530,41,4,0.0,2,147606.71,Gboliwe,Spain,Female,0,1,1
6867,675,32,8,197436.82,1,52710.7,Goodwin,Spain,Male,1,1,1
4510,572,35,1,139979.07,1,185662.84,Kwemto,Germany,Female,1,0,1
3300,825,34,9,0.0,2,31933.06,Forbes,France,Male,1,1,1
3800,458,35,5,166492.48,1,135287.74,Chinagorom,Spain,Female,1,0,1
4282,554,41,4,112152.89,1,36242.19,Watson,Spain,Female,0,1,1
9052,671,31,6,105864.6,2,145567.34,Feng,Germany,Female,1,0,1
6463,467,57,1,0.0,2,114448.77,Tu,France,Male,1,1,1
7913,642,35,2,133161.95,1,122254.86,Buckley,France,Male,0,1,1
1415,485,30,5,156771.68,1,141148.21,Siciliani,Germany,Female,1,1,1
541,833,37,8,151226.18,2,136129.49,De Luca,France,Male,1,1,1
5816,802,41,4,90757.64,2,169183.66,Sternberg,Germany,Female,0,1,1
8200,810,32,9,120879.73,2,78896.59,Crawford,France,Male,0,1,1
3681,850,22,3,0.0,1,144385.54,Eiland,Spain,Male,1,1,1
755,838,39,5,166733.92,2,14279.44,Azubuike,Spain,Female,1,0,1
4197,625,57,7,0.0,1,84106.17,Tsui,Spain,Female,0,0,0
2651,587,33,5,100116.82,1,34215.58,Ch'ien,France,Male,1,0,1
4523,629,39,5,0.0,2,116748.14,Yuriev,Spain,Male,0,0,1
9520,610,27,2,0.0,2,14546.76,Leonard,France,Female,1,0,1
3119,451,33,6,0.0,2,184954.11,Mazzanti,France,Male,1,0,1
3729,675,66,5,115654.47,2,131970.86,Bateman,Spain,Male,1,1,1
3887,710,34,8,147833.3,2,1561.58,Tien,Germany,Male,0,1,1
7108,711,45,1,97486.15,2,50610.62,Obioma,Germany,Female,1,0,1
8069,619,29,4,98955.87,1,131712.51,Saunders,Germany,Male,0,1,1
7326,761,34,2,0.0,2,61251.25,Samsonova,Spain,Female,1,0,1
8484,433,34,9,152806.74,1,19687.99,Maclean,Spain,Male,1,0,1
8768,552,29,10,0.0,2,12186.83,Russo,France,Male,1,0,1
6501,582,43,5,153313.67,1,170563.73,Buckley,France,Female,0,0,1
8427,514,26,1,0.0,2,121551.93,Bishop,France,Male,0,0,1
7964,630,37,6,0.0,2,82647.65,Moretti,France,Male,1,1,1
602,762,26,7,123709.46,2,169654.57,Mai,Spain,Female,1,1,1
9250,787,39,7,171646.76,1,100791.36,Sheppard,Spain,Female,0,1,1
8920,673,32,8,121240.76,1,116969.73,Buckley,France,Male,1,0,1
6815,445,25,6,0.0,2,119425.94,Mai,France,Male,1,0,1
5412,642,40,7,0.0,2,10712.82,Shih,France,Female,1,0,1
8748,579,29,10,73194.52,2,129209.09,Chung,France,Female,1,1,1
5523,817,37,6,81070.34,2,80985.88,Brown,France,Female,1,0,1
1045,670,38,4,119624.54,2,110472.12,Timms,France,Female,1,1,1
7335,616,18,6,0.0,2,27308.58,Vaguine,France,Male,1,1,1
1558,515,37,2,90432.92,1,188366.04,Samoylova,Germany,Male,1,1,0
3740,627,32,1,0.0,1,106851.7,Kegley,France,Female,1,0,1
